DEB [20231211-10:35:29.297] thr=1   paramiko.transport: starting thread (server mode): 0xec854a10
DEB [20231211-10:35:29.299] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-OpenSSH_5.3
DEB [20231211-10:35:29.299] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20231211-10:35:29.299] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20231211-10:35:29.301] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20231211-10:35:29.302] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20231211-10:35:29.303] thr=1   paramiko.transport: server key: ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519, rsa-sha2-512, rsa-sha2-256, ssh-rsa
DEB [20231211-10:35:29.303] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20231211-10:35:29.303] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20231211-10:35:29.303] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20231211-10:35:29.303] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20231211-10:35:29.303] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20231211-10:35:29.303] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: client lang: <none>
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: server lang: <none>
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: kex follows: False
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20231211-10:35:29.304] thr=1   paramiko.transport: Compression: none
DEB [20231211-10:35:29.305] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20231211-10:35:29.307] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
ERR [20231211-10:35:33.728] thr=1   paramiko.transport: Socket exception: An existing connection was forcibly closed by the remote host (10054)
DEB [20231211-10:57:59.342] thr=1   paramiko.transport: starting thread (server mode): 0x55b58550
DEB [20231211-10:57:59.342] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-OpenSSH_5.3
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20231211-10:57:59.343] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: server key: ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519, rsa-sha2-512, rsa-sha2-256, ssh-rsa
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20231211-10:57:59.343] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: client lang: <none>
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: server lang: <none>
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: kex follows: False
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: Compression: none
DEB [20231211-10:57:59.344] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20231211-10:57:59.346] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20231211-10:58:00.939] thr=1   paramiko.transport: Switch to new keys ...
DEB [20231211-10:58:00.945] thr=1   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20231211-10:58:00.945] thr=1   paramiko.transport: Auth rejected (none).
DEB [20231211-10:58:02.499] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20231211-10:58:02.499] thr=1   paramiko.transport: Auth rejected (password).
DEB [20231211-10:58:04.155] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20231211-10:58:04.155] thr=1   paramiko.transport: Auth rejected (password).
DEB [20231211-10:58:05.566] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20231211-10:58:05.566] thr=1   paramiko.transport: Auth rejected (password).
ERR [20231211-10:58:05.573] thr=1   paramiko.transport: Socket exception: An existing connection was forcibly closed by the remote host (10054)
DEB [20231211-11:01:55.139] thr=1   paramiko.transport: starting thread (server mode): 0xa504fe90
DEB [20231211-11:01:55.139] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-OpenSSH_5.3
DEB [20231211-11:01:55.139] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20231211-11:01:55.140] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20231211-11:01:55.140] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20231211-11:01:55.140] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: server key: ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519, rsa-sha2-512, rsa-sha2-256, ssh-rsa
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: client lang: <none>
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: server lang: <none>
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: kex follows: False
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: Compression: none
DEB [20231211-11:01:55.141] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20231211-11:01:55.143] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20231211-11:01:56.059] thr=1   paramiko.transport: Switch to new keys ...
DEB [20231211-11:01:56.062] thr=1   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20231211-11:01:56.062] thr=1   paramiko.transport: Auth rejected (none).
DEB [20231211-11:01:57.685] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20231211-11:01:57.685] thr=1   paramiko.transport: Auth rejected (password).
